observation,LLM_Judge,Idiom_prompt,LLM_used_for_original_prompt,Language,Origin_score,Translation_score,Overall_score
1,Copilot,It's raining cats and dogs,DuckAI,English,5,5,5.0
2,MetaAI,It's raining cats and dogs,DuckAI,English,5,5,5.0
3,Copilot,It's raining cats and dogs,DuckAI,Arabic,1,5,3.0
4,MetaAI,It's raining cats and dogs,DuckAI,Arabic,5,5,5.0
5,Copilot,It's raining cats and dogs,DuckAI,Chinese,4,5,4.5
6,MetaAI,It's raining cats and dogs,DuckAI,Chinese,5,5,5.0
7,Copilot,Don't cry over spilled milk,DuckAI,English,5,5,5.0
8,MetaAI,Don't cry over spilled milk,DuckAI,English,5,5,5.0
9,Copilot,Don't cry over spilled milk,DuckAI,Arabic,5,5,5.0
10,MetaAI,Don't cry over spilled milk,DuckAI,Arabic,5,5,5.0
11,Copilot,Don't cry over spilled milk,DuckAI,Chinese,5,5,5.0
12,MetaAI,Don't cry over spilled milk,DuckAI,Chinese,5,5,5.0
13,Copilot,The whole nine yards,DuckAI,English,5,5,5.0
14,MetaAI,The whole nine yards,DuckAI,English,5,5,5.0
15,Copilot,The whole nine yards,DuckAI,Arabic,5,5,5.0
16,MetaAI,The whole nine yards,DuckAI,Arabic,5,5,5.0
17,Copilot,The whole nine yards,DuckAI,Chinese,5,5,5.0
18,MetaAI,The whole nine yards,DuckAI,Chinese,5,5,5.0
19,Copilot,It's raining cats and dogs,Claude,English,4,5,4.5
20,MetaAI,It's raining cats and dogs,Claude,English,4,5,4.5
21,Copilot,It's raining cats and dogs,Claude,Arabic,5,5,5.0
22,MetaAI,It's raining cats and dogs,Claude,Arabic,5,5,5.0
23,Copilot,It's raining cats and dogs,Claude,Chinese,5,5,5.0
24,MetaAI,It's raining cats and dogs,Claude,Chinese,5,5,5.0
25,Copilot,Don't cry over spilled milk,Claude,English,5,5,5.0
26,MetaAI,Don't cry over spilled milk,Claude,English,5,5,5.0
27,Copilot,Don't cry over spilled milk,Claude,Arabic,5,5,5.0
28,MetaAI,Don't cry over spilled milk,Claude,Arabic,3,5,4.0
29,Copilot,Don't cry over spilled milk,Claude,Chinese,4,5,4.5
30,MetaAI,Don't cry over spilled milk,Claude,Chinese,4,5,4.5
31,Copilot,The whole nine yards,Claude,English,3,5,4.0
32,MetaAI,The whole nine yards,Claude,English,3,5,4.0
33,Copilot,The whole nine yards,Claude,Arabic,5,5,5.0
34,MetaAI,The whole nine yards,Claude,Arabic,5,5,5.0
35,Copilot,The whole nine yards,Claude,Chinese,4,5,4.5
36,MetaAI,The whole nine yards,Claude,Chinese,4,5,4.5
37,Copilot,It's raining cats and dogs,ChatGPT,English,4,5,4.5
38,MetaAI,It's raining cats and dogs,ChatGPT,English,5,5,5.0
39,Copilot,It's raining cats and dogs,ChatGPT,Arabic,5,5,5.0
40,MetaAI,It's raining cats and dogs,ChatGPT,Arabic,5,5,5.0
41,Copilot,It's raining cats and dogs,ChatGPT,Chinese,5,5,5.0
42,MetaAI,It's raining cats and dogs,ChatGPT,Chinese,5,5,5.0
43,Copilot,Don't cry over spilled milk,ChatGPT,English,5,5,5.0
44,MetaAI,Don't cry over spilled milk,ChatGPT,English,5,5,5.0
45,Copilot,Don't cry over spilled milk,ChatGPT,Arabic,5,5,5.0
46,MetaAI,Don't cry over spilled milk,ChatGPT,Arabic,5,5,5.0
47,Copilot,Don't cry over spilled milk,ChatGPT,Chinese,4,5,4.5
48,MetaAI,Don't cry over spilled milk,ChatGPT,Chinese,5,5,5.0
49,Copilot,The whole nine yards,ChatGPT,English,5,4,4.5
50,MetaAI,The whole nine yards,ChatGPT,English,5,5,5.0
51,Copilot,The whole nine yards,ChatGPT,Arabic,5,5,5.0
52,MetaAI,The whole nine yards,ChatGPT,Arabic,5,5,5.0
53,Copilot,The whole nine yards,ChatGPT,Chinese,5,5,5.0
54,MetaAI,The whole nine yards,ChatGPT,Chinese,5,5,5.0
55,Copilot,It's raining cats and dogs,Gemini,English,4,5,4.5
56,MetaAI,It's raining cats and dogs,Gemini,English,3,5,4.0
57,Copilot,It's raining cats and dogs,Gemini,Arabic,4,5,4.5
58,MetaAI,It's raining cats and dogs,Gemini,Arabic,5,5,5.0
59,Copilot,It's raining cats and dogs,Gemini,Chinese,4,5,4.5
60,MetaAI,It's raining cats and dogs,Gemini,Chinese,3,5,4.0
61,Copilot,Don't cry over spilled milk,Gemini,English,5,5,5.0
62,MetaAI,Don't cry over spilled milk,Gemini,English,5,5,5.0
63,Copilot,Don't cry over spilled milk,Gemini,Arabic,5,5,5.0
64,MetaAI,Don't cry over spilled milk,Gemini,Arabic,5,5,5.0
65,Copilot,Don't cry over spilled milk,Gemini,Chinese,5,5,5.0
66,MetaAI,Don't cry over spilled milk,Gemini,Chinese,5,5,5.0
67,Copilot,The whole nine yards,Gemini,English,5,5,5.0
68,MetaAI,The whole nine yards,Gemini,English,5,5,5.0
69,Copilot,The whole nine yards,Gemini,Arabic,2,5,3.5
70,MetaAI,The whole nine yards,Gemini,Arabic,5,5,5.0
71,Copilot,The whole nine yards,Gemini,Chinese,4,5,4.5
72,MetaAI,The whole nine yards,Gemini,Chinese,3,5,4.0
